Date,Title,Location,Time,Description,Category,Audience
"Tuesday July 14, 2026",Bilingual Storytime,PASEO VERDE LIBRARY,10:00am - 10:30am,Disfruta el tiempo de cuentos y canciones en inglés y en español. Enjoy our music and storytime in English and Spanish. Ages 0-5 and their caregivers.,Storytime • Culture & Diversity,"Preschoolers, Babies & Toddlers"
"Tuesday July 14, 2026",Computer Basics,PASEO VERDE LIBRARY,10:00am - 11:00am,Designed to help new users swiftly and easily learn the fundamentals of computer use. No computer knowledge is required. Space is limited.,Computers & Technology,Adults
"Tuesday July 14, 2026",STEAM Team,GREEN VALLEY LIBRARY,2:30pm - 3:15pm,Come have fun with some glow-in-the-dark activities! Ages 6-11*. No younger children allowed.,General • STEAM,Kids
"Tuesday July 14, 2026",Pop Up-STEAM Team,WEST HENDERSON LIBRARY,3:30pm - 4:30pm,Drop by our table anytime from 3:30pm-4:30pm for some fun STEAM activities! For families with children.,STEAM,Families
"Tuesday July 14, 2026",Speed Friending,JAMES I. GIBSON LIBRARY,5:00pm - 6:30pm,Join us for a fun and low pressure way to meet new people. 18+. See customer service for a pass.,Fun & Games,Adults
"Wednesday July 15, 2026",Storytime,PASEO VERDE LIBRARY,9:30am - 10:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Wednesday July 15, 2026",EmployNV Outreach Initiative,JAMES I. GIBSON LIBRARY,10:00am - 12:00pm,"Stop by to hear about EmployNV services, no- cost public workforce system, that are currently being offered at our James I. Gibson library!",Presentations & Workshops,Adults
"Wednesday July 15, 2026",Summer Movie,JAMES I. GIBSON LIBRARY,10:00am - 12:00pm,Bring your family and some snacks and join us for a fun movie and free air-conditioning! We'll be watching The Super Mario Galaxy Movie (PG; 1hr 39min).,Movie,Families
"Wednesday July 15, 2026",Storytime,PASEO VERDE LIBRARY,10:30am - 11:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Wednesday July 15, 2026",No Pressure Senior Book Club,HERITAGE PARK SENIOR FACILITY,LIBRARY,"1:00pm - 2:15pm Join us to discuss a new book each month and share other titles you've been reading. For adults ages 50+. This month's book is ""The Hunger Games"" by Suzanne Collins.",Book Club,Adults
"Wednesday July 15, 2026",STEAM Team,PASEO VERDE LIBRARY,2:30pm - 3:15pm,"Come make some summer art with glue, salt, and watercolors! Ages 6-11*. No younger children allowed.",General • STEAM,Kids Page 7 of 14 --footer-line
"Wednesday July 15, 2026",Teen Movie Book Club,PASEO VERDE LIBRARY,4:00pm - 6:30pm,"Love seeing your favorite stories come to life? Read the book then come to the library to watch the movie. After, we’ll chat about how they compare! Snacks included! For ages 13-17. No parents please.",Book Club • Movie,Teens
"Wednesday July 15, 2026",Conversational Spanish Meet up,PASEO VERDE LIBRARY,5:30pm - 6:45pm,Join us as we build confidence in our Spanish speaking skills while exploring the richness of Hispanic cultures. See Customer Service for a pass. 18+,Local Topics & Meetings • Culture & Diversity,Adults
"Thursday July 16, 2026",Mobile Showers with Clean the World,JAMES I. GIBSON PARKING LOT,9:00am - 1:00pm,Henderson Libraries is partnering with Clean the World to provide hot showers and hygiene packs.,Health & Wellness,"Families, Adults"
"Thursday July 16, 2026",Storytime,JAMES I. GIBSON LIBRARY,9:30am - 10:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Thursday July 16, 2026",Summer Movie,PASEO VERDE LIBRARY,10:00am - 12:00pm,Bring your family and some snacks and join us for a fun movie and free air-conditioning! We'll be watching Sing (PG; 1hr 50min).,Movie,Families
"Thursday July 16, 2026",League of Women Voters of Nevada,PASEO VERDE LIBRARY,10:00am - 12:00pm,Stop by and chat with members of The League of Women Voters of Nevada.,Local Topics & Meetings,Adults
